economy,Country,Inflation_IPC,GDP_USD
USA,United States,1.6400434423899,15048964444000.0
GBR,United Kingdom,2.49265472467065,2496740681057.14
ARE,United Arab Emirates,0.877983288285867,307736419332.88
CHE,Switzerland,0.688238707219974,598851028906.58
SWE,Sweden,1.15798802715626,492750897239.447
ESP,Spain,1.79986457728768,1427989078916.67
SGP,Singapore,2.82884527612958,239807980591.24
SAU,Saudi Arabia,5.33941733020905,528207466666.667
ZAF,South Africa,4.06749555950263,417363822801.713
PRT,Portugal,1.40257289895369,238443864993.217
POL,Poland,2.58069370250548,478111630683.514
NOR,Norway,2.41890639481003,431052143940.438
NLD,Netherlands,1.27530569556679,852464982433.335
MLT,Malta,1.51563513618532,9097044159.26912
LTU,Lithuania,1.31921362055463,36638128534.0643
LBN,Lebanon,3.98347941855833,38443907042.1227
JPN,Japan,-0.728243207517779,5759071769013.11
ITA,Italy,1.52551602118248,2144936254535.0
ISR,Israel,2.70270270270273,239679036634.372
ISL,Iceland,5.39673113167477,13922711576.5124
HKG,"Hong Kong SAR, China",2.29289088604673,228638668727.291
GRC,Greece,4.71298907760395,296417644404.034
DEU,Germany,1.1038103778926,3467093769666.67
FRA,France,1.53112270420918,2646230027988.34
FIN,Finland,1.18413523154646,249429613683.334
EUU,European Union,,14641773544950.6
IRL,Ireland,-0.918388645376774,221732824603.484
DNK,Denmark,2.31092436974786,322345594075.47
CZE,Czechia,1.47272727272728,211168667286.27
CYP,Cyprus,2.43004084102254,25799940077.6075
CHI,Channel Islands,,8902359316.35606
CAN,Canada,1.77687154092627,1617343367486.26
BRA,Brazil,5.03872690108074,2208838108484.35
BEL,Belgium,2.18929920422458,481556503720.001
BHR,Bahrain,1.96188468334623,26805984042.5532
AUT,Austria,1.81353438995061,389827789217.634
AUS,Australia,2.9183370211222,1152566632022.13
